Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	São Paulo	Active	2023	Black Metal	Satanism, Paganism, Occultism, National Socialism, War	Unsigned/independent	2023-present	https://www.metal-archives.com/bands/Kodorah/3540561642
Brazil	Parintins, Amazonas	Active	2017	Thrash Metal/Crossover	N/A	Unsigned/independent	2017-present	https://www.metal-archives.com/bands/Kohva/3540488556
Brazil	Bragança Paulista, São Paulo	Split-up	2010	Thrash/Death Metal	N/A	Unsigned/independent	2010-2016	https://www.metal-archives.com/bands/Kollision/3540398815
Brazil	São Paulo	Active	2022	Death/Black Metal/Grindcore	Politics, Anti-Fascism, Violence	Unsigned/independent	2022-present	https://www.metal-archives.com/bands/Koma/3540519250
Brazil	Ilhéus, Bahia	Active	2001	Thrash/Death Metal	N/A	Unsigned/independent	2001-present	https://www.metal-archives.com/bands/Koriza/57731
Brazil	Belo Horizonte, Minas Gerais	Split-up	2019	Groove Metal	Society, World collapse	Unsigned/independent	2019-2020	https://www.metal-archives.com/bands/Kor%C3%B6zyon/3540547259
Brazil	São Paulo, São Paulo	Split-up	2006	Grindcore	Protest, Society, Anti-religion	Unsigned/independent	2006-2007, 2009-2010	https://www.metal-archives.com/bands/Korroz%C3%A3o/3540342900
Brazil	Alumínio, São Paulo	Active	2011	Crossover/Thrash Metal	Social and political issues, Corruption, Violence, Sex, Beer, Rock 'n' Roll	Unsigned/independent	2011-present	https://www.metal-archives.com/bands/Korsakov/3540413329
Brazil	Campina Grande, Paraíba	Active	2013	Thrash Metal	Occultism, Society, Freedom of expression, Against power abuse	Cianeto Discos	2013-present	https://www.metal-archives.com/bands/Korvak/3540420265
Brazil	São Paulo, São Paulo	Active	1984	Thrash Metal	Life, Madness, Death	AFM Records	1983-1984 (as Hand of Doom), 1984-present	https://www.metal-archives.com/bands/Korzus/1062
Brazil	Rio de Janeiro, Rio de Janeiro	Active	2014	Progressive Metal/Rock	Feelings, Darkness	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Kosmus/3540436964
Brazil	Muritiba, Bahia	Unknown	2004	Power Metal	Fantasy	Unsigned/independent	2004-?	https://www.metal-archives.com/bands/Koudan/94151
Brazil	São Paulo, São Paulo	Active	2020	Progressive/Stoner/Doom Metal	Instrumental	Unsigned/independent	2020-present	https://www.metal-archives.com/bands/Kraftv%C3%B8id/3540471107
Brazil	Goiânia, Goiás	Active	2016	Groove Metal	N/A	Unsigned/independent	2016-present	https://www.metal-archives.com/bands/Krakkenspit/3540468740
